Al,"23/02/2024"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Finanziari","Azionario","62.806.017,08","0,32","62.806.017,08","159.906.683,00","0,39","Indonesia","Indonesia Stock Exchange","IDR"
"1810","XIAOMI CORP","IT","Azionario","61.719.578,24","0,31","61.719.578,24","36.529.400,00","1,69","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"9961","TRIP.COM GROUP LTD","Consumi Discrezionali","Azionario","60.759.257,30","0,31","60.759.257,30","1.297.502,00","46,83","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"LT","LARSEN AND TOUBRO LTD","Industriali","Azionario","59.178.521,40","0,30","59.178.521,40","1.448.917,00","40,84","India","National Stock Exchange Of India","INR"
"1211","BYD LTD H","Consumi Discrezionali","Azionario","58.321.762,69","0,30","58.321.762,69","2.464.000,00","23,67","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"005380","HYUNDAI MOTOR","Consumi Discrezionali","Azionario","57.709.606,70","0,29","57.709.606,70","314.813,00","183,31","Corea","Korea Exchange (Stock Market)","KRW"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Generi di largo consumo","Azionario","56.324.471,12","0,29","56.324.471,12","1.951.512,00","28,86","India","National Stock Exchange Of India","INR"
"NBK","NATIONAL BANK OF KUWAIT","Finanziari","Azionario","56.298.841,65","0,29","56.298.841,65","17.767.337,00","3,17","Kuwait","Kuwait Stock Exchange","KWD"
"005490","POSCO","Materiali","Azionario","55.952.613,35","0,29","55.952.613,35","171.012,00","327,19","Corea","Korea Exchange (Stock Market)","KRW"
"000270","KIA CORPORATION CORP","Consumi Discrezionali","Azionario","54.414.008,79","0,28","54.414.008,79","611.721,00","88,95","Corea","Korea Exchange (Stock Market)","KRW"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Generi di largo consumo","Azionario","54.146.948,47","0,28","54.146.948,47","4.548.694,00","11,90","Messico","Bolsa Mexicana De Valores","MXN"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Finanziari","Azionario","53.656.200,60","0,27","53.656.200,60","2.581.660,00","20,78","India","National Stock Exchange Of India","INR"
"KFH","KUWAIT FINANCE HOUSE","Finanziari","Azionario","52.859.877,31","0,27","52.859.877,31","20.305.848,00","2,60","Kuwait","Kuwait Stock Exchange","KWD"
"BAJFINANCE","BAJAJ FINANCE LTD","Finanziari","Azionario","52.577.516,91","0,27","52.577.516,91","651.150,00","80,75","India","National Stock Exchange Of India","INR"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumi Discrezionali","Azionario","50.219.439,51","0,26","50.219.439,51","2.158.451,00","23,27","India","National Stock Exchange Of India","INR"
"WALMEX*","WALMART DE MEXICO V","Generi di largo consumo","Azionario","50.005.112,54","0,26","50.005.112,54","12.311.990,00","4,06","Messico","Bolsa Mexicana De Valores","MXN"
"068270","CELLTRION INC","Salute","Azionario","49.331.264,79","0,25","49.331.264,79","364.791,00","135,23","Corea","Korea Exchange (Stock Market)","KRW"
"2382","QUANTA COMPUTER INC","IT","Azionario","48.461.085,24","0,25","48.461.085,24","6.348.000,00","7,63","Taiwan","Taiwan Stock Exchange","TWD"
"2015","LI AUTO CLASS A INC","Consumi Discrezionali","Azionario","47.746.265,22","0,24","47.746.265,22","2.685.736,00","17,78","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"7010","SAUDI TELECOM","Comunicazione","Azionario","46.952.994,69","0,24","46.952.994,69","4.197.788,00","11,19","Arabia Saudita","Saudi Stock Exchange","SAR"
"035420","NAVER CORP","Comunicazione","Azionario","46.806.179,33","0,24","46.806.179,33","310.730,00","150,63","Corea","Korea Exchange (Stock Market)","KRW"
"2222","SAUDI ARABIAN OIL","Energia","Azionario","46.206.054,66","0,24","46.206.054,66","5.415.494,00","8,53","Arabia Saudita","Saudi Stock Exchange","SAR"
"QNBK","QATAR NATIONAL BANK","Finanziari","Azionario","45.939.430,18","0,23","45.939.430,18","11.158.470,00","4,12","Qatar","Qatar Exchange","QAR"
"HCLTECH","HCL TECHNOLOGIES LTD","IT","Azionario","45.608.134,59","0,23","45.608.134,59","2.271.166,00","20,08","India","National Stock Exchange Of India","INR"
"TATAMOTORS","TATA MOTORS LTD","Consumi Discrezionali","Azionario","45.091.222,76","0,23","45.091.222,76","3.990.097,00","11,30","India","National Stock Exchange Of India","INR"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumi Discrezionali","Azionario","45.011.646,97","0,23","45.011.646,97","323.669,00","139,07","India","National Stock Exchange Of India","INR"
