Al,"23/02/2024"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"LTIM","LTIMINDTREE LTD","IT","Azionario","13.519.321,84","0,07","13.519.321,84","202.327,00","66,82","India","National Stock Exchange Of India","INR"
"BIMBOA","GRUPO BIMBO A","Generi di largo consumo","Azionario","13.464.323,16","0,07","13.464.323,16","3.134.117,00","4,30","Messico","Bolsa Mexicana De Valores","MXN"
"CHOLAFIN","CHOLAMANDALAM INVESTMENT AND FINAN","Finanziari","Azionario","13.453.590,86","0,07","13.453.590,86","1.009.567,00","13,33","India","National Stock Exchange Of India","INR"
"INDHOTEL","INDIAN HOTELS LTD","Consumi Discrezionali","Azionario","13.402.201,59","0,07","13.402.201,59","1.869.996,00","7,17","India","National Stock Exchange Of India","INR"
"032830","SAMSUNG LIFE LTD","Finanziari","Azionario","13.340.690,73","0,07","13.340.690,73","185.744,00","71,82","Corea","Korea Exchange (Stock Market)","KRW"
"009150","SAMSUNG ELECTRO MECHANICS LTD","IT","Azionario","13.329.297,02","0,07","13.329.297,02","130.744,00","101,95","Corea","Korea Exchange (Stock Market)","KRW"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Immobili","Azionario","13.324.318,80","0,07","13.324.318,80","7.039.627,00","1,89","Messico","Bolsa Mexicana De Valores","MXN"
"3328","BANK OF COMMUNICATIONS LTD H","Finanziari","Azionario","13.281.542,35","0,07","13.281.542,35","19.870.000,00","0,67","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"CEZ","CEZ","Imprese di servizi di pubblica utilità","Azionario","13.262.894,38","0,07","13.262.894,38","367.711,00","36,07","Repubblica Ceca","Prague Stock Exchange","CZK"
"ALDAR","ALDAR PROPERTIES","Immobili","Azionario","13.261.463,18","0,07","13.261.463,18","9.367.056,00","1,42","Emirati Arabi Uniti","Abu Dhabi Securities Exchange","AED"
"2082","ACWA POWER CO","Imprese di servizi di pubblica utilità","Azionario","13.239.541,61","0,07","13.239.541,61","194.268,00","68,15","Arabia Saudita","Saudi Stock Exchange","SAR"
"2376","GIGABYTE TECHNOLOGY LTD","IT","Azionario","13.192.689,03","0,07","13.192.689,03","1.216.000,00","10,85","Taiwan","Taiwan Stock Exchange","TWD"
"1050","BANQUE SAUDI FRANSI","Finanziari","Azionario","13.108.002,03","0,07","13.108.002,03","1.280.249,00","10,24","Arabia Saudita","Saudi Stock Exchange","SAR"
"096770","SK INNOVATION LTD","Energia","Azionario","13.101.841,70","0,07","13.101.841,70","141.552,00","92,56","Corea","Korea Exchange (Stock Market)","KRW"
"1171","YANKUANG ENERGY GROUP COMPANY LTD","Energia","Azionario","13.071.348,60","0,07","13.071.348,60","5.481.000,00","2,38","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"DIVISLAB","DIVIS LABORATORIES LTD","Salute","Azionario","13.056.767,60","0,07","13.056.767,60","296.883,00","43,98","India","National Stock Exchange Of India","INR"
"2327","YAGEO CORP","IT","Azionario","13.029.893,06","0,07","13.029.893,06","760.334,00","17,14","Taiwan","Taiwan Stock Exchange","TWD"
"788","CHINA TOWER CORP LTD H","Comunicazione","Azionario","12.968.150,91","0,07","12.968.150,91","101.468.000,00","0,13","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"402340","SK SQUARE LTD","Industriali","Azionario","12.909.516,70","0,07","12.909.516,70","247.954,00","52,06","Corea","Korea Exchange (Stock Market)","KRW"
"IQCD","INDUSTRIES QATAR","Industriali","Azionario","12.886.393,69","0,07","12.886.393,69","3.774.687,00","3,41","Qatar","Qatar Exchange","QAR"
"PERSISTENT","PERSISTENT SYSTEMS LTD","IT","Azionario","12.876.228,73","0,07","12.876.228,73","123.445,00","104,31","India","National Stock Exchange Of India","INR"
"3045","TAIWAN MOBILE LTD","Comunicazione","Azionario","12.868.567,27","0,07","12.868.567,27","4.087.000,00","3,15","Taiwan","Taiwan Stock Exchange","TWD"
"5876","SHANGHAI COMMERCIAL LTD","Finanziari","Azionario","12.852.089,72","0,07","12.852.089,72","9.066.539,00","1,42","Taiwan","Taiwan Stock Exchange","TWD"
"3017","ASIA VITAL COMPONENTS LTD","IT","Azionario","12.790.127,67","0,07","12.790.127,67","809.973,00","15,79","Taiwan","Taiwan Stock Exchange","TWD"
"PTTEP.R","PTT EXPLORATION AND PRODUCTION NON","Energia","Azionario","12.773.612,80","0,07","12.773.612,80","2.994.956,00","4,27","Tailandia","Stock Exchange Of Thailand","THB"
"BBNI","BANK NEGARA INDONESIA","Finanziari","Azionario","12.670.556,93","0,06","12.670.556,93","33.490.000,00","0,38","Indonesia","Indonesia Stock Exchange","IDR"
"SCC.R","SIAM CEMENT NON-VOTING DR PCL","Materiali","Azionario","12.665.357,53","0,06","12.665.357,53","1.687.507,00","7,51","Tailandia","Stock Exchange Of Thailand","THB"
"4938","PEGATRON CORP","IT","Azionario","12.650.039,60","0,06","12.650.039,60","4.649.000,00","2,72","Taiwan","Taiwan Stock Exchange","TWD"
"GAIL","GAIL INDIA LTD","Imprese di servizi di pubblica utilità","Azionario","12.624.544,85","0,06","12.624.544,85","5.821.045,00","2,17","India","National Stock Exchange Of India","INR"
"PIDILITIND","PIDILITE INDUSTRIES LTD","Materiali","Azionario","12.589.593,57","0,06","12.589.593,57","381.113,00","33,03","India","National Stock Exchange Of India","INR"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Finanziari","Azionario","12.577.169,88","0,06","12.577.169,88","6.097.200,00","2,06","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"034020","DOOSAN ENERBILITY LTD","Industriali","Azionario","12.530.262,65","0,06","12.530.262,65","1.020.086,00","12,28","Corea","Korea Exchange (Stock Market)","KRW"
"034730","SK LTD","Industriali","Azionario","12.523.688,82","0,06","12.523.688,82","81.714,00","153,26","Corea","Korea Exchange (Stock Market)","KRW"
"LPP","LPP SA","Consumi Discrezionali","Azionario","12.341.073,98","0,06","12.341.073,98","2.701,00","4.569,08","Polonia","Warsaw Stock Exchange/Equities/Main Market","PLN"
"VBBR3","VIBRA ENERGIA SA","Consumi Discrezionali","Azionario","12.323.510,64","0,06","12.323.510,64","2.388.081,00","5,16","Brasile","XBSP","BRL"
"ADANIPOWER","ADANI POWER LTD","Imprese di servizi di pubblica utilità","Azionario","12.296.161,53","0,06","12.296.161,53","1.824.464,00","6,74","India","National Stock Exchange Of India","INR"
"ICT","INTERNATIONAL CONTAINER TERMINAL S","Industriali","Azionario","12.290.873,35","0,06","12.290.873,35","2.462.580,00","4,99","Filippine","Philippine Stock Exchange Inc.","PHP"
"SPL","SANTANDER BANK POLSKA SA","Finanziari","Azionario","12.229.562,67","0,06","12.229.562,67","87.694,00","139,46","Polonia","Warsaw Stock Exchange/Equities/Main Market","PLN"
"RAIL3","RUMO SA","Industriali","Azionario","12.193.985,83","0,06","12.193.985,83","2.667.548,00","4,57","Brasile","XBSP","BRL"
"DIB","DB ISLAMIC BANK","Finanziari","Azionario","12.145.418,55","0,06","12.145.418,55","6.992.087,00","1,74","Emirati Arabi Uniti","Dubai Financial Market","AED"
"2603","EVERGREEN MARINE CORP (TAIWAN) LTD","Industriali","Azionario","12.125.551,85","0,06","12.125.551,85","2.399.947,00","5,05","Taiwan","Taiwan Stock Exchange","TWD"
"7020","ETIHAD ETISALAT","Comunicazione","Azionario","12.091.564,11","0,06","12.091.564,11","827.544,00","14,61","Arabia Saudita","Saudi Stock Exchange","SAR"
"THYAO.E","TURK HAVA YOLLARI AO A","Industriali","Azionario","12.020.894,04","0,06","12.020.894,04","1.303.774,00","9,22","Turchia","Istanbul Stock Exchange","TRY"
"NAUKRI","INFO EDGE INDIA LTD","Comunicazione","Azionario","11.910.434,13","0,06","11.910.434,13","185.112,00","64,34","India","National Stock Exchange Of India","INR"
"EUROB","EUROBANK HOLDINGS SA","Finanziari","Azionario","11.826.696,11","0,06","11.826.696,11","5.750.533,00","2,06","Grecia","Athens Exchange S.A. Cash Market","EUR"
"CHILE","BANCO DE CHILE","Finanziari","Azionario","11.647.825,75","0,06","11.647.825,75","106.477.954,00","0,11","Cile","Santiago Stock Exchange","CLP"
"NED","NEDBANK GROUP LTD","Finanziari","Azionario","11.629.677,34","0,06","11.629.677,34","1.002.216,00","11,60","Sud Africa","Johannesburg Stock Exchange","ZAR"
"2912","PRESIDENT CHAIN STORE CORP","Generi di largo consumo","Azionario","11.606.005,89","0,06","11.606.005,89","1.357.000,00","8,55","Taiwan","Taiwan Stock Exchange","TWD"
"INDIGO","INTERGLOBE AVIATION LTD","Industriali","Azionario","11.607.239,92","0,06","11.607.239,92","302.869,00","38,32","India","National Stock Exchange Of India","INR"
"600900","CHINA YANGTZE POWER LTD A","Imprese di servizi di pubblica utilità","Azionario","11.586.597,24","0,06","11.586.597,24","3.250.584,00","3,56","Cina","Shanghai Stock Exchange","CNY"
"LEGN","LEGEND BIOTECH ADR REP CORP","Salute","Azionario","11.562.542,50","0,06","11.562.542,50","174.925,00","66,10","Cina","NASDAQ","USD"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","Imprese di servizi di pubblica utilità","Azionario","11.426.114,79","0,06","11.426.114,79","711.001,00","16,07","Brasile","XBSP","BRL"
"ALI","AYALA LAND INC","Immobili","Azionario","11.424.592,49","0,06","11.424.592,49","17.167.600,00","0,67","Filippine","Philippine Stock Exchange Inc.","PHP"
"KOFUBL","COCA-COLA FEMSA CLASS UBL UNITS","Generi di largo consumo","Azionario","11.425.327,73","0,06","11.425.327,73","1.154.115,00","9,90","Messico","Bolsa Mexicana De Valores","MXN"
"9868","XPENG CLASS A INC","Consumi Discrezionali","Azionario","11.410.737,18","0,06","11.410.737,18","2.529.240,00","4,51","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"TIINDIA","TUBE INVESTMENTS OF INDIA LTD","Consumi Discrezionali","Azionario","11.248.339,17","0,06","11.248.339,17","257.560,00","43,67","India","National Stock Exchange Of India","INR"
"SUZLON","SUZLON ENERGY LTD","Industriali","Azionario","11.229.998,27","0,06","11.229.998,27","20.746.734,00","0,54","India","National Stock Exchange Of India","INR"
"2382","SUNNY OPTICAL TECHNOLOGY LTD","IT","Azionario","11.183.914,42","0,06","11.183.914,42","1.710.800,00","6,54","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"TUPRS.E","TURKIYE PETROL RAFINERILERI A","Energia","Azionario","11.158.234,93","0,06","11.158.234,93","2.112.891,00","5,28","Turchia","Istanbul Stock Exchange","TRY"
"3702","WPG HOLDINGS LTD","IT","Azionario","11.106.480,41","0,06","11.106.480,41","3.714.200,00","2,99","Taiwan","Taiwan Stock Exchange","TWD"
"998","CHINA CITIC BANK CORP LTD H","Finanziari","Azionario","11.070.967,74","0,06","11.070.967,74","20.192.000,00","0,55","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"2324","COMPAL ELECTRONICS INC","IT","Azionario","11.064.456,78","0,06","11.064.456,78","9.649.001,00","1,15","Taiwan","Taiwan Stock Exchange","TWD"
"CBQK","COMMERCIAL BANK OF QATAR","Finanziari","Azionario","11.026.024,80","0,06","11.026.024,80","7.750.146,00","1,42","Qatar","Qatar Exchange","QAR"
"INDUSINDBK","INDUSIND BANK LTD","Finanziari","Azionario","11.018.125,42","0,06","11.018.125,42","617.411,00","17,85","India","National Stock Exchange Of India","INR"
"ADIB","ABU DHABI ISLAMIC BANK","Finanziari","Azionario","10.950.442,67","0,06","10.950.442,67","3.616.945,00","3,03","Emirati Arabi Uniti","Abu Dhabi Securities Exchange","AED"
"259960","KRAFTON INC","Comunicazione","Azionario","10.926.549,34","0,06","10.926.549,34","64.783,00","168,66","Corea","Korea Exchange (Stock Market)","KRW"
"2383","ELITE MATERIAL LTD","IT","Azionario","10.888.287,56","0,06","10.888.287,56","673.985,00","16,16","Taiwan","Taiwan Stock Exchange","TWD"
"1590","AIRTAC INTERNATIONAL GROUP","Industriali","Azionario","10.820.367,45","0,06","10.820.367,45","322.253,00","33,58","Taiwan","Taiwan Stock Exchange","TWD"
"GCARSOA1","GRUPO CARSO SERIES A1","Industriali","Azionario","10.685.069,54","0,05","10.685.069,54","1.238.211,00","8,63","Messico","Bolsa Mexicana De Valores","MXN"
"015760","KOREA ELECTRIC POWER CORP","Imprese di servizi di pubblica utilità","Azionario","10.645.014,01","0,05","10.645.014,01","601.658,00","17,69","Corea","Korea Exchange (Stock Market)","KRW"
"INR","INR CASH","Liquidità e/o derivati","Contanti","10.615.537,02","0,05","10.615.537,02","880.558.796,00","1,21","India","-","INR"
"2377","MICRO-STAR INTERNATIONAL LTD","IT","Azionario","10.585.305,20","0,05","10.585.305,20","1.745.000,00","6,07","Taiwan","Taiwan Stock Exchange","TWD"
"018260","SAMSUNG SDS LTD","IT","Azionario","10.539.167,12","0,05","10.539.167,12","83.056,00","126,89","Corea","Korea Exchange (Stock Market)","KRW"
"000858","WULIANGYE YIBIN LTD A","Generi di largo consumo","Azionario","10.531.438,51","0,05","10.531.438,51","535.620,00","19,66","Cina","Shenzhen Stock Exchange","CNY"
"SIEMENS","SIEMENS LTD","Industriali","Azionario","10.503.351,07","0,05","10.503.351,07","192.054,00","54,69","India","National Stock Exchange Of India","INR"
"6618","JD HEALTH INTERNATIONAL INC","Generi di largo consumo","Azionario","10.500.927,23","0,05","10.500.927,23","2.680.700,00","3,92","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"MYTIL","MYTILINEOS SA","Industriali","Azionario","10.447.418,88","0,05","10.447.418,88","262.774,00","39,76","Grecia","Athens Exchange S.A. Cash Market","EUR"
"MCDOWELL.N","UNITED SPIRITS LTD","Generi di largo consumo","Azionario","10.407.435,54","0,05","10.407.435,54","740.360,00","14,06","India","National Stock Exchange Of India","INR"
"BPI","BANK OF THE PHILIPPINE ISLANDS","Finanziari","Azionario","10.399.558,50","0,05","10.399.558,50","4.844.461,00","2,15","Filippine","Philippine Stock Exchange Inc.","PHP"
"HAVELLS","HAVELLS INDIA LTD","Industriali","Azionario","10.364.745,28","0,05","10.364.745,28","601.438,00","17,23","India","National Stock Exchange Of India","INR"
"COFORGE","COFORGE LTD","IT","Azionario","10.347.727,59","0,05","10.347.727,59","129.934,00","79,64","India","National Stock Exchange Of India","INR"
"2356","INVENTEC CORP","IT","Azionario","10.290.778,93","0,05","10.290.778,93","5.896.000,00","1,75","Taiwan","Taiwan Stock Exchange","TWD"
"ICICIGI","ICICI LOMBARD GENERAL INSURANCE CO","Finanziari","Azionario","10.292.711,43","0,05","10.292.711,43","520.836,00","19,76","India","National Stock Exchange Of India","INR"
"005387","HYUNDAI MOTOR S2 PREF","Consumi Discrezionali","Azionario","10.261.321,21","0,05","10.261.321,21","85.258,00","120,36","Corea","Korea Exchange (Stock Market)","KRW"
"SOL","SASOL LTD","Materiali","Azionario","10.255.521,03","0,05","10.255.521,03","1.355.959,00","7,56","Sud Africa","Johannesburg Stock Exchange","ZAR"
"836","CHINA RESOURCES POWER LTD","Imprese di servizi di pubblica utilità","Azionario","10.156.835,51","0,05","10.156.835,51","4.615.049,00","2,20","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"SRF","SRF LTD","Materiali","Azionario","10.123.356,38","0,05","10.123.356,38","351.971,00","28,76","India","National Stock Exchange Of India","INR"
"GGBR4","GERDAU PREF SA","Materiali","Azionario","10.079.908,09","0,05","10.079.908,09","2.343.790,00","4,30","Brasile","XBSP","BRL"
"012450","HANWHA AEROSPACE LTD","Industriali","Azionario","10.060.696,44","0,05","10.060.696,44","86.900,00","115,77","Corea","Korea Exchange (Stock Market)","KRW"
"KCHOL.E","KOC HOLDING A","Industriali","Azionario","10.001.789,92","0,05","10.001.789,92","1.780.015,00","5,62","Turchia","Istanbul Stock Exchange","TRY"
"LUPIN","LUPIN LTD","Salute","Azionario","9.994.622,81","0,05","9.994.622,81","513.362,00","19,47","India","National Stock Exchange Of India","INR"
"2353","ACER","IT","Azionario","9.928.296,35","0,05","9.928.296,35","6.850.850,00","1,45","Taiwan","Taiwan Stock Exchange","TWD"
"1177","SINO BIOPHARMACEUTICAL LTD","Salute","Azionario","9.928.076,91","0,05","9.928.076,91","24.739.250,00","0,40","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"AKBNK.E","AKBANK A","Finanziari","Azionario","9.922.745,77","0,05","9.922.745,77","7.187.283,00","1,38","Turchia","Istanbul Stock Exchange","TRY"
"1658","POSTAL SAVINGS BANK OF CHINA LTD H","Finanziari","Azionario","9.909.370,52","0,05","9.909.370,52","18.286.528,00","0,54","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"HINDPETRO","HINDUSTAN PETROLEUM CORP LTD","Energia","Azionario","9.906.203,61","0,05","9.906.203,61","1.557.467,00","6,36","India","National Stock Exchange Of India","INR"
"SM","SM INVESTMENTS CORP","Industriali","Azionario","9.840.478,43","0,05","9.840.478,43","605.818,00","16,24","Filippine","Philippine Stock Exchange Inc.","PHP"
"REM","REMGRO LTD","Finanziari","Azionario","9.827.547,94","0,05","9.827.547,94","1.275.180,00","7,71","Sud Africa","Johannesburg Stock Exchange","ZAR"
"CUMMINSIND","CUMMINS INDIA LTD","Industriali","Azionario","9.807.114,81","0,05","9.807.114,81","289.404,00","33,89","India","National Stock Exchange Of India","INR"
"1080","ARAB NATIONAL BANK","Finanziari","Azionario","9.771.059,65","0,05","9.771.059,65","1.398.716,00","6,99","Arabia Saudita","Saudi Stock Exchange","SAR"
"ALPHA","ALPHA SERVICES AND HOLDINGS SA","Finanziari","Azionario","9.753.453,24","0,05","9.753.453,24","5.300.225,00","1,84","Grecia","Athens Exchange S.A. Cash Market","EUR"
"4904","FAR EASTONE TELECOMMUNICATIONS LTD","Comunicazione","Azionario","9.703.354,56","0,05","9.703.354,56","3.858.000,00","2,52","Taiwan","Taiwan Stock Exchange","TWD"
"GOTO","GOTO GOJEK TOKOPEDIA","Consumi Discrezionali","Azionario","9.674.744,41","0,05","9.674.744,41","1.909.782.300,00","0,01","Indonesia","Indonesia Stock Exchange","IDR"
"168","TSINGTAO BREWERY LTD H","Generi di largo consumo","Azionario","9.615.919,43","0,05","9.615.919,43","1.378.000,00","6,98","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"YESBANK","YES BANK LTD","Finanziari","Azionario","9.585.420,50","0,05","9.585.420,50","30.347.734,00","0,32","India","National Stock Exchange Of India","INR"
"BBSE3","BB SEGURIDADE SA","Finanziari","Azionario","9.567.921,68","0,05","9.567.921,68","1.444.568,00","6,62","Brasile","XBSP","BRL"
"3481","INNOLUX CORP","IT","Azionario","9.542.286,64","0,05","9.542.286,64","19.372.376,00","0,49","Taiwan","Taiwan Stock Exchange","TWD"
"6415","SILERGY CORP","IT","Azionario","9.531.391,56","0,05","9.531.391,56","733.000,00","13,00","Taiwan","Taiwan Stock Exchange","TWD"
"AMBUJACEM","AMBUJA CEMENTS LTD","Materiali","Azionario","9.504.440,05","0,05","9.504.440,05","1.307.560,00","7,27","India","National Stock Exchange Of India","INR"
"601318","PING AN INSURANCE (GROUP) OF CHINA","Finanziari","Azionario","9.501.876,62","0,05","9.501.876,62","1.553.946,00","6,11","Cina","Shanghai Stock Exchange","CNY"
"8210","BUPA ARABIA","Finanziari","Azionario","9.447.829,14","0,05","9.447.829,14","151.687,00","62,29","Arabia Saudita","Saudi Stock Exchange","SAR"
"CSAN3","COSAN INDUSTRIA E COMERCIO SA","Energia","Azionario","9.444.481,77","0,05","9.444.481,77","2.656.540,00","3,56","Brasile","XBSP","BRL"
"2474","CATCHER TECHNOLOGY LTD","IT","Azionario","9.423.833,51","0,05","9.423.833,51","1.514.000,00","6,22","Taiwan","Taiwan Stock Exchange","TWD"
"5110","SAUDI ELECTRICITY","Imprese di servizi di pubblica utilità","Azionario","9.421.716,06","0,05","9.421.716,06","1.793.713,00","5,25","Arabia Saudita","Saudi Stock Exchange","SAR"
"KGH","KGHM POLSKA MIEDZ SA","Materiali","Azionario","9.375.841,64","0,05","9.375.841,64","335.400,00","27,95","Polonia","Warsaw Stock Exchange/Equities/Main Market","PLN"
"APN","ASPEN PHARMACARE LTD","Salute","Azionario","9.352.580,09","0,05","9.352.580,09","925.798,00","10,10","Sud Africa","Johannesburg Stock Exchange","ZAR"
"UGPA3","ULTRAPAR PARTICIPOES SA","Energia","Azionario","9.221.945,42","0,05","9.221.945,42","1.508.246,00","6,11","Brasile","XBSP","BRL"
"RNI","REINET INVESTMENTS S.C.A.","Finanziari","Azionario","9.206.354,95","0,05","9.206.354,95","356.998,00","25,79","Sud Africa","Johannesburg Stock Exchange","ZAR"
"BH.R","BUMRUNGRAD HOSPITAL NON-VOTING DR","Salute","Azionario","9.157.238,80","0,05","9.157.238,80","1.407.000,00","6,51","Tailandia","Stock Exchange Of Thailand","THB"
"3443","GLOBAL UNICHIP CORP","IT","Azionario","9.125.724,60","0,05","9.125.724,60","198.000,00","46,09","Taiwan","Taiwan Stock Exchange","TWD"
"1099","SINOPHARM GROUP LTD H","Salute","Azionario","9.116.768,06","0,05","9.116.768,06","3.198.800,00","2,85","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"GODREJPROP","GODREJ PROPERTIES LTD","Immobili","Azionario","9.105.964,07","0,05","9.105.964,07","305.948,00","29,76","India","National Stock Exchange Of India","INR"
"DABUR","DABUR INDIA LTD","Generi di largo consumo","Azionario","9.079.817,32","0,05","9.079.817,32","1.407.007,00","6,45","India","National Stock Exchange Of India","INR"
"MARK","MASRAF AL RAYAN","Finanziari","Azionario","9.079.236,78","0,05","9.079.236,78","13.481.852,00","0,67","Qatar","Qatar Exchange","QAR"
"2888","SHIN KONG FINANCIAL HOLDING LTD","Finanziari","Azionario","9.043.380,37","0,05","9.043.380,37","34.272.566,00","0,26","Taiwan","Taiwan Stock Exchange","TWD"
"CPN.R","CENTRAL PATTANA NON-VOTING DR PCL","Immobili","Azionario","9.031.063,49","0,05","9.031.063,49","4.922.100,00","1,83","Tailandia","Stock Exchange Of Thailand","THB"
"PSSMF","PRESS METAL ALUMINIUM HOLDINGS","Materiali","Azionario","9.029.681,63","0,05","9.029.681,63","9.217.800,00","0,98","Malesia","Bursa Malaysia","MYR"
"PFBCOLOM","BANCOLOMBIA PREF SA","Finanziari","Azionario","9.016.479,89","0,05","9.016.479,89","1.090.029,00","8,27","Colombia","Bolsa De Valores De Colombia","COP"
"GULF.R","GULF ENERGY DEVELOPMENT PCL NON-VO","Imprese di servizi di pubblica utilità","Azionario","8.961.726,79","0,05","8.961.726,79","7.190.790,00","1,25","Tailandia","Stock Exchange Of Thailand","THB"
"ALE","ALLEGRO SA","Consumi Discrezionali","Azionario","8.939.826,36","0,05","8.939.826,36","1.083.359,00","8,25","Polonia","Warsaw Stock Exchange/Equities/Main Market","PLN"
"VIVT3","TELEFONICA BRASIL SA","Comunicazione","Azionario","8.887.885,48","0,05","8.887.885,48","801.838,00","11,08","Brasile","XBSP","BRL"
"COLPAL","COLGATE PALMOLIVE INDIA LTD","Generi di largo consumo","Azionario","8.849.776,06","0,05","8.849.776,06","288.285,00","30,70","India","National Stock Exchange Of India","INR"
"323410","KAKAOBANK CORP","Finanziari","Azionario","8.829.371,02","0,05","8.829.371,02","390.443,00","22,61","Corea","Korea Exchange (Stock Market)","KRW"
"EMBASSY","EMBASSY OFFICE PARKS REIT UNITS","Immobili","Azionario","8.805.532,22","0,04","8.805.532,22","2.006.921,00","4,39","India","National Stock Exchange Of India","INR"
"2409","AUO CORP","IT","Azionario","8.718.901,45","0,04","8.718.901,45","15.420.000,00","0,57","Taiwan","Taiwan Stock Exchange","TWD"
"2338","WEICHAI POWER LTD H","Industriali","Azionario","8.687.546,65","0,04","8.687.546,65","4.437.000,00","1,96","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"BELA","JUMBO SA","Consumi Discrezionali","Azionario","8.674.589,72","0,04","8.674.589,72","292.985,00","29,61","Grecia","Athens Exchange S.A. Cash Market","EUR"
"HDFCAMC","HDFC ASSET MANAGEMENT COMPANY LTD","Finanziari","Azionario","8.662.584,28","0,04","8.662.584,28","188.211,00","46,03","India","National Stock Exchange Of India","INR"
"135","KUNLUN ENERGY LTD","Imprese di servizi di pubblica utilità","Azionario","8.664.298,86","0,04","8.664.298,86","9.274.000,00","0,93","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"PIIND","P.I. INDUSTRIES LTD","Materiali","Azionario","8.656.299,63","0,04","8.656.299,63","195.401,00","44,30","India","National Stock Exchange Of India","INR"
"6488","GLOBALWAFERS LTD","IT","Azionario","8.618.328,11","0,04","8.618.328,11","479.000,00","17,99","Taiwan","Gretai Securities Market","TWD"
"1919","COSCO SHIPPING HOLDINGS LTD H","Industriali","Azionario","8.589.301,89","0,04","8.589.301,89","7.645.749,00","1,12","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"2280","ALMARAI","Generi di largo consumo","Azionario","8.576.265,51","0,04","8.576.265,51","537.881,00","15,94","Arabia Saudita","Saudi Stock Exchange","SAR"
"AGLTY","THE PUBLIC WAREHOUSING (AGILITY)","Industriali","Azionario","8.566.684,51","0,04","8.566.684,51","4.237.892,00","2,02","Kuwait","Kuwait Stock Exchange","KWD"
"DSY","DISCOVERY LTD","Finanziari","Azionario","8.566.987,17","0,04","8.566.987,17","1.209.235,00","7,08","Sud Africa","Johannesburg Stock Exchange","ZAR"
"ZAIN","MOBILE TEL","Comunicazione","Azionario","8.557.323,73","0,04","8.557.323,73","5.142.751,00","1,66","Kuwait","Kuwait Stock Exchange","KWD"
"JINDALSTEL","JINDAL STEEL AND POWER LTD","Materiali","Azionario","8.551.500,56","0,04","8.551.500,56","901.846,00","9,48","India","National Stock Exchange Of India","INR"
"BVT","BIDVEST GROUP LTD","Industriali","Azionario","8.544.544,87","0,04","8.544.544,87","692.073,00","12,35","Sud Africa","Johannesburg Stock Exchange","ZAR"
"CLS","CLICKS GROUP LTD","Generi di largo consumo","Azionario","8.525.932,24","0,04","8.525.932,24","546.604,00","15,60","Sud Africa","Johannesburg Stock Exchange","ZAR"
"WHL","WOOLWORTHS HOLDING LTD","Consumi Discrezionali","Azionario","8.510.989,56","0,04","8.510.989,56","2.415.023,00","3,52","Sud Africa","Johannesburg Stock Exchange","ZAR"
"BVN","BUENAVENTURA ADR REPRESENTING","Materiali","Azionario","8.506.138,76","0,04","8.506.138,76","544.916,00","15,61","Peru","New York Stock Exchange Inc.","USD"
"2385","CHICONY ELECTRONICS LTD","IT","Azionario","8.483.717,84","0,04","8.483.717,84","1.443.787,00","5,88","Taiwan","Taiwan Stock Exchange","TWD"
"011200","HMM LTD","Industriali","Azionario","8.480.407,66","0,04","8.480.407,66","592.227,00","14,32","Corea","Korea Exchange (Stock Market)","KRW"
"010140","SAMSUNG HEAVY INDUSTRIES LTD","Industriali","Azionario","8.457.204,97","0,04","8.457.204,97","1.515.069,00","5,58","Corea","Korea Exchange (Stock Market)","KRW"
"6030","CITIC SECURITIES COMPANY LTD H","Finanziari","Azionario","8.409.770,72","0,04","8.409.770,72","4.306.375,00","1,95","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"2050","SAVOLA GROUP","Generi di largo consumo","Azionario","8.381.479,59","0,04","8.381.479,59","545.742,00","15,36","Arabia Saudita","Saudi Stock Exchange","SAR"
"PCHEM","PETRONAS CHEMICALS GROUP","Materiali","Azionario","8.347.710,10","0,04","8.347.710,10","5.738.300,00","1,45","Malesia","Bursa Malaysia","MYR"
"RICHTER","GEDEON RICHTER","Salute","Azionario","8.344.375,99","0,04","8.344.375,99","308.318,00","27,06","Ungheria","Budapest Stock Exchange","HUF"
